,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
250,2007.03,Captive financial institutions,281,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,3526
251,2007.03,Captive financial institutions,281,Closing balance net worth,LE00000,B900000,-11601
252,2007.03,Captive financial institutions,281,Closing balance total liabilities and net worth,LE00000,L000000,278681
253,2007.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total assets,LE00000,A000000,146271
254,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,82958
255,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,45
256,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance currency and deposits,LE00000,AFA0200,6542
257,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance debt securities,LE00000,AFA0300,8374
258,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance loans,LE00000,AFA0400,16477
259,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,40474
260,2007.03,Central government institutions excluding funded social insurance schemes,311,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
261,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,1071
262,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,9976
263,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,52394
264,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,299
265,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
266,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance debt securities,LE00000,AFL0300,27640
267,2007.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance loans,LE00000,AFL0400,4307
